# Video Name Mapping - Copy/paste video names from this file
# Format: Clip_Index | Video_Name | Mouse_ID | Frame_Range
# ================================================================================

00000 | org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4 | Mouse 1 | Frames 430-446
00001 | org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4 | Mouse 2 | Frames 672-692
00002 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 989-1011
00003 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 440-456
00004 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 582-594
00005 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 909-927
00006 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1399-1409
00007 | org-3-uploads-stage.study_410.cage_4480.2025-08-15.11.53.mp4 | Mouse 2 | Frames 1542-1572
00008 | org-3-uploads-stage.study_410.cage_4481.2025-08-06.12.28.mp4 | Mouse 1 | Frames 821-832
00009 | org-3-uploads-stage.study_410.cage_4482.2025-07-13.13.55.mp4 | Mouse 1 | Frames 585-599
00010 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4 | Mouse 1 | Frames 1236-1245
00011 | org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4 | Mouse 1 | Frames 1549-1569
00012 | org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4 | Mouse 2 | Frames 772-792
00013 | org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4 | Mouse 1 | Frames 1262-1272
00014 | org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4 | Mouse 2 | Frames 1026-1045
00015 | org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4 | Mouse 2 | Frames 1647-1677
00016 | org-3-uploads-stage.study_410.cage_4486.2025-08-02.08.55.mp4 | Mouse 2 | Frames 73-93
00017 | org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4 | Mouse 0 | Frames 798-818
00018 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 520-530
00019 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 1 | Frames 911-921
00020 | org-3-uploads-stage.study_431.cage_4555.2025-07-19.04.49.mp4 | Mouse 2 | Frames 1433-1473
00021 | org-3-uploads-stage.study_443.cage_4823.2025-08-12.08.42.mp4 | Mouse 1 | Frames 1624-1644
00022 | org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4 | Mouse 1 | Frames 1692-1722
00023 | org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4 | Mouse 0 | Frames 261-311
00024 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 0 | Frames 458-488
00025 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 0 | Frames 570-600
00026 | org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4 | Mouse 2 | Frames 283-309
00027 | org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4 | Mouse 0 | Frames 181-201
00028 | org-3-uploads-stage.study_448.cage_4864.2025-09-06.00.48.mp4 | Mouse 2 | Frames 1534-1545
00029 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 0 | Frames 244-254
00030 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 1 | Frames 6-16
00031 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 1 | Frames 920-930
00032 | org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4 | Mouse 2 | Frames 368-379
00033 | org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4 | Mouse 0 | Frames 268-298
00034 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 568-595
00035 | org-3-uploads-stage.study_460.cage_4986.2025-09-03.08.11.mp4 | Mouse 0 | Frames 1608-1628
00036 | org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4 | Mouse 2 | Frames 474-486
00037 | org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4 | Mouse 0 | Frames 1640-1680
00038 | org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4 | Mouse 1 | Frames 409-419
00039 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4 | Mouse 0 | Frames 204-234
00040 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4 | Mouse 2 | Frames 1051-1070
00041 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 0 | Frames 945-995
00042 | org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4 | Mouse 2 | Frames 922-962
00043 | org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4 | Mouse 1 | Frames 400-410
