"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
86,"org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4",1,1108,1138,"turn_left",31,4,"kmeans"
87,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,338,348,"turn_left",11,2,"kmeans"
88,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,587,609,"turn_left",23,1,"kmeans"
89,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,653,680,"turn_left",28,2,"kmeans"
90,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",0,947,967,"turn_left",21,2,"kmeans"
91,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,319,329,"turn_left",11,1,"kmeans"
92,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,520,530,"turn_left",11,1,"kmeans"
93,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,722,732,"turn_left",11,1,"kmeans"
94,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,911,921,"turn_left",11,1,"kmeans"
95,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,1026,1054,"turn_left",29,1,"kmeans"
96,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,70,90,"turn_left",21,2,"kmeans"
97,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,99,109,"turn_left",11,2,"kmeans"
98,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,339,352,"turn_left",14,5,"kmeans"
99,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,440,456,"turn_left",17,5,"kmeans"
100,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,582,594,"turn_left",13,5,"kmeans"
101,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,909,927,"turn_left",19,3,"kmeans"
102,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,1262,1275,"turn_left",14,5,"kmeans"
103,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",2,1042,1061,"turn_left",20,1,"kmeans"
104,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",0,749,760,"turn_left",12,2,"kmeans"
105,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,265,285,"turn_left",21,2,"kmeans"
106,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,312,318,"turn_left",7,2,"kmeans"
107,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,825,857,"turn_left",33,2,"kmeans"
108,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,1105,1121,"turn_left",17,2,"kmeans"
109,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",1,1790,1799,"turn_left",10,5,"kmeans"
110,"org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4",2,1071,1087,"turn_left",17,5,"kmeans"
111,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",0,413,433,"turn_left",21,2,"kmeans"
112,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",2,360,390,"turn_left",31,4,"kmeans"
113,"org-3-uploads-stage.study_470.cage_5049.2025-09-09.00.30.mp4",2,474,486,"turn_left",13,1,"kmeans"
114,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,651,660,"turn_left",10,2,"kmeans"
115,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,726,746,"turn_left",21,2,"kmeans"
116,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,1035,1045,"turn_left",11,5,"kmeans"
117,"org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4",1,1455,1478,"turn_left",24,1,"kmeans"
118,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,384,414,"turn_left",31,4,"kmeans"
119,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,546,565,"turn_left",20,2,"kmeans"
120,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1399,1409,"turn_left",11,5,"kmeans"
121,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1536,1555,"turn_left",20,2,"kmeans"
122,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1573,1583,"turn_left",11,2,"kmeans"
123,"org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4",2,1637,1657,"turn_left",21,2,"kmeans"
124,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1349,1359,"turn_left",11,1,"kmeans"
125,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1486,1496,"turn_left",11,5,"kmeans"
126,"org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4",2,1539,1559,"turn_left",21,2,"kmeans"
127,"org-3-uploads-stage.study_410.cage_4481.2025-08-06.12.28.mp4",1,821,832,"turn_left",12,1,"kmeans"
128,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",0,97,137,"turn_left",41,4,"kmeans"
129,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",0,1531,1550,"turn_left",20,2,"kmeans"
130,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",1,559,579,"turn_left",21,2,"kmeans"
131,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",1,1418,1458,"turn_left",41,4,"kmeans"
132,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",2,32,45,"turn_left",14,2,"kmeans"
133,"org-9-uploads-stage.study_1175.cage_5999.2025-06-29.05.08.mp4",2,98,125,"turn_left",28,4,"kmeans"
134,"org-3-uploads-stage.study_460.cage_4979.2025-09-05.05.54.mp4",0,991,1006,"turn_left",16,5,"kmeans"
135,"org-3-prod.study_429.cage_4539.2025-08-17.22.36.mp4",0,729,749,"turn_left",21,1,"kmeans"
136,"org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4",0,812,827,"turn_left",16,2,"kmeans"
137,"org-3-uploads-stage.study_507.cage_5502.2025-10-15.22.32.mp4",0,1640,1680,"turn_left",41,4,"kmeans"
138,"org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4",2,425,445,"turn_left",21,1,"kmeans"
139,"org-3-uploads-stage.study_410.cage_4484.2025-07-30.14.19.mp4",2,1647,1677,"turn_left",31,4,"kmeans"
140,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.23.16.mp4",0,261,311,"turn_left",51,4,"kmeans"
