# Video Name Mapping - Copy/paste video names from this file
# Format: Clip_Index | Video_Name | Mouse_ID | Frame_Range
# ================================================================================

00000 | org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4 | Mouse 2 | Frames 450-470
00001 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 340-359
00002 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 431-451
00003 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 750-765
00004 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 0 | Frames 769-784
00005 | org-3-prod.study_443.cage_4823.2025-08-11.23.16.mp4 | Mouse 1 | Frames 1384-1405
00006 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 70-90
00007 | org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4 | Mouse 0 | Frames 99-109
00008 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 0 | Frames 749-760
00009 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 265-285
00010 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 312-318
00011 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 825-857
00012 | org-3-uploads-stage.study_410.cage_4479.2025-07-11.21.08.mp4 | Mouse 1 | Frames 1105-1121
00013 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 338-348
00014 | org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4 | Mouse 2 | Frames 653-680
00015 | org-3-uploads-stage.study_410.cage_4480.2025-08-02.03.41.mp4 | Mouse 2 | Frames 1662-1672
00016 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 546-565
00017 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1536-1555
00018 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1573-1583
00019 | org-3-uploads-stage.study_410.cage_4480.2025-08-04.09.17.mp4 | Mouse 2 | Frames 1637-1657
00020 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1153-1167
00021 | org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4 | Mouse 1 | Frames 1394-1410
00022 | org-3-uploads-stage.study_410.cage_4482.2025-07-13.13.55.mp4 | Mouse 2 | Frames 766-786
00023 | org-3-uploads-stage.study_410.cage_4482.2025-07-14.13.38.mp4 | Mouse 1 | Frames 1504-1515
00024 | org-3-uploads-stage.study_410.cage_4482.2025-07-30.05.49.mp4 | Mouse 2 | Frames 1539-1559
00025 | org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4 | Mouse 1 | Frames 877-890
00026 | org-3-uploads-stage.study_410.cage_4483.2025-07-16.13.28.mp4 | Mouse 1 | Frames 914-930
00027 | org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4 | Mouse 1 | Frames 651-660
00028 | org-3-uploads-stage.study_410.cage_4486.2025-07-12.00.06.mp4 | Mouse 1 | Frames 726-746
00029 | org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4 | Mouse 2 | Frames 921-931
00030 | org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4 | Mouse 2 | Frames 963-974
00031 | org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4 | Mouse 2 | Frames 986-996
00032 | org-3-uploads-stage.study_426.cage_4476.2025-07-26.23.44.mp4 | Mouse 0 | Frames 290-310
00033 | org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4 | Mouse 0 | Frames 947-967
00034 | org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4 | Mouse 0 | Frames 1426-1451
00035 | org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4 | Mouse 2 | Frames 136-156
