"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
0,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",0,244,254,"turn_left",11,1,"dbscan"
1,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",0,381,401,"turn_left",21,1,"dbscan"
2,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,6,16,"turn_left",11,1,"dbscan"
3,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,906,916,"turn_left",11,0,"dbscan"
4,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",1,920,930,"turn_left",11,0,"dbscan"
5,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,368,379,"turn_left",12,1,"dbscan"
6,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,387,393,"turn_left",7,0,"dbscan"
7,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,514,524,"turn_left",11,0,"dbscan"
8,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,1098,1108,"turn_left",11,0,"dbscan"
9,"org-3-uploads-stage.study_448.cage_4865.2025-09-29.08.13.mp4",2,1138,1158,"turn_left",21,1,"dbscan"
10,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,311,327,"turn_left",17,0,"dbscan"
11,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,389,399,"turn_left",11,0,"dbscan"
12,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,409,419,"turn_left",11,0,"dbscan"
13,"org-3-uploads-stage.study_507.cage_5505.2025-10-16.16.07.mp4",1,1653,1676,"turn_left",24,0,"dbscan"
14,"org-3-uploads-stage.study_447.cage_4840.2025-08-23.14.43.mp4",2,98,118,"turn_left",21,2,"dbscan"
16,"org-3-uploads-stage.study_447.cage_4840.2025-08-16.20.15.mp4",2,1012,1022,"turn_left",11,0,"dbscan"
17,"org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4",0,268,298,"turn_left",31,0,"dbscan"
18,"org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4",0,446,456,"turn_left",11,0,"dbscan"
19,"org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4",0,568,579,"turn_left",12,0,"dbscan"
20,"org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4",0,691,701,"turn_left",11,0,"dbscan"
21,"org-3-uploads-stage.study_460.cage_4984.2025-09-03.05.37.mp4",0,706,732,"turn_left",27,1,"dbscan"
22,"org-3-uploads-stage.study_447.cage_4840.2025-08-22.01.45.mp4",0,301,331,"turn_left",31,0,"dbscan"
23,"org-3-uploads-stage.study_447.cage_4840.2025-08-22.01.45.mp4",0,575,596,"turn_left",22,0,"dbscan"
24,"org-3-uploads-stage.study_447.cage_4840.2025-08-22.01.45.mp4",2,711,731,"turn_left",21,0,"dbscan"
25,"org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4",1,660,690,"turn_left",31,0,"dbscan"
26,"org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4",1,772,792,"turn_left",21,0,"dbscan"
27,"org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4",1,826,846,"turn_left",21,0,"dbscan"
28,"org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4",1,1692,1722,"turn_left",31,0,"dbscan"
29,"org-3-uploads-stage.study_447.cage_4838.2025-08-15.05.30.mp4",2,78,88,"turn_left",11,0,"dbscan"
