"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
67,"org-3-prod.study_428.cage_4522.2025-07-15.00.22.mp4",2,450,470,"turn_left",21,3,"hierarchical"
68,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4",1,198,205,"turn_left",8,1,"hierarchical"
69,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4",1,901,921,"turn_left",21,1,"hierarchical"
70,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4",1,965,985,"turn_left",21,1,"hierarchical"
71,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4",1,1338,1348,"turn_left",11,1,"hierarchical"
72,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.00.mp4",1,1732,1739,"turn_left",8,1,"hierarchical"
73,"org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4",1,1097,1117,"turn_left",21,1,"hierarchical"
74,"org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4",1,1153,1167,"turn_left",15,1,"hierarchical"
75,"org-3-uploads-stage.study_410.cage_4481.2025-08-01.22.32.mp4",1,1394,1410,"turn_left",17,1,"hierarchical"
76,"org-3-uploads-stage.study_410.cage_4482.2025-07-14.06.51.mp4",1,1,21,"turn_left",21,1,"hierarchical"
77,"org-3-uploads-stage.study_410.cage_4480.2025-08-05.22.24.mp4",0,1383,1400,"turn_left",18,1,"hierarchical"
78,"org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4",1,141,161,"turn_left",21,1,"hierarchical"
79,"org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4",1,624,644,"turn_left",21,1,"hierarchical"
81,"org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4",1,1639,1659,"turn_left",21,1,"hierarchical"
82,"org-3-uploads-stage.study_476.cage_5056.2025-09-24.22.45.mp4",1,1737,1757,"turn_left",21,1,"hierarchical"
83,"org-3-uploads-stage.study_460.cage_4987.2025-09-03.23.23.mp4",2,1030,1040,"turn_left",11,1,"hierarchical"
84,"org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4",1,928,947,"turn_left",20,1,"hierarchical"
85,"org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4",1,1064,1089,"turn_left",26,1,"hierarchical"
86,"org-3-uploads-stage.study_410.cage_4486.2025-07-16.13.08.mp4",1,1108,1138,"turn_left",31,1,"hierarchical"
87,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,338,348,"turn_left",11,1,"hierarchical"
88,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,587,609,"turn_left",23,1,"hierarchical"
89,"org-3-uploads-stage.study_410.cage_4479.2025-07-30.11.10.mp4",2,653,680,"turn_left",28,1,"hierarchical"
90,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",0,947,967,"turn_left",21,1,"hierarchical"
91,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,319,329,"turn_left",11,1,"hierarchical"
92,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,520,530,"turn_left",11,1,"hierarchical"
93,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,722,732,"turn_left",11,1,"hierarchical"
94,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,911,921,"turn_left",11,1,"hierarchical"
95,"org-3-uploads-stage.study_427.cage_4488.2025-07-17.00.18.mp4",1,1026,1054,"turn_left",29,1,"hierarchical"
96,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,70,90,"turn_left",21,3,"hierarchical"
98,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,339,352,"turn_left",14,3,"hierarchical"
99,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,440,456,"turn_left",17,1,"hierarchical"
100,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,582,594,"turn_left",13,2,"hierarchical"
101,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,909,927,"turn_left",19,3,"hierarchical"
102,"org-3-prod.study_443.cage_4823.2025-08-11.23.22.mp4",0,1262,1275,"turn_left",14,3,"hierarchical"
